id,nome,linguagem
0,ads-advanced-tools-docs,Jupyter Notebook
1,ads-pao-amznjs-gtm-server-side-template,Smarty
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,amazon-ads-advertiser-audience-normalization-sdk-py,Python
5,amazon-advertising-api-php-sdk,PHP
6,amazon-codeguru-profiler-for-spark,Java
7,amazon-frustration-free-setup-certification-tool,Python
8,amazon-hub-counter-api-docs,CSS
9,amazon-hub-counter-api-samples,Java
10,amazon-hub-counter-sdk-java,Java
11,amazon-hub-support,PowerShell
12,amazon-instant-access-sdk-java,Java
13,amazon-instant-access-sdk-net,C#
14,amazon-instant-access-sdk-php,PHP
15,amazon-instant-access-sdk-ruby,Ruby
16,amazon-launcher-integration-cordova-plugin,JavaScript
17,amazon-marketing-stream-examples,Python
18,amazon-multi-token-completion,Python
19,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
20,amazon-pay-api-sdk-dotnet,C#
21,amazon-pay-api-sdk-java,Java
22,amazon-pay-api-sdk-nodejs,JavaScript
23,amazon-pay-api-sdk-php,PHP
24,amazon-pay-api-sdk-ruby,Ruby
25,amazon-pay-code-samples,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-payment-files-tools,Kotlin
32,amazon-payments-magento-2-plugin,PHP
33,amazon-ray,Python
34,amazon-s3-gst-plugin,C
35,amazon-sidewalk-ios-samples,Swift
36,amazon-succinct-doc-representation,Python
37,amazon-weak-ner-needle,Python
38,amigitenough,Go
39,amzn-drivers,C
40,amzn-ec2-ena-utilities,Python
41,app-platform,Kotlin
42,armbench,Python
43,augment-the-pairs-wacv2024,Python
44,aws-sigv4-signing-samples,Java
45,AWSSecurityCareerPathwayActivityRust,Rust
46,awsssmchaosrunner,Kotlin
47,basis-point-sets,Python
48,BayesPE,Python
49,buy-with-prime-cdk-constructs,TypeScript
50,buy-with-prime-monitoring-sample-cdk,TypeScript
51,chalet-charging-location-for-electric-trucks,Python
52,confident-sinkhorn-allocation,Jupyter Notebook
53,convolutional-handwriting-gan,Python
54,cosearcher,Python
55,credence-to-causal-estimation,Python
56,data-jack-knife,Java
57,debiased-balanced-interleaving,Jupyter Notebook
58,differential-privacy-bayesian-optimization,Python
59,distance-assistant,Python
60,drs-sample-android-app,Java
61,drs-sample-ios-app,Objective-C
62,efa-dp-direct,Cuda
63,emukit-playground,JavaScript
64,eslint-plugin-no-date-parsing,TypeScript
65,exoplayer-amazon-port,Java
66,extremely-efficient-query-encoder,Python
67,faithful-data2text-cycle-training,Python
68,fashion-attribute-disentanglement,Python
69,fire-app-builder,Java
70,firetv-sample-touch-app,Java
71,fkat,Python
72,ftv-integration-sdk-sample-app,Kotlin
73,ftv-livetv-sample-tv-app,Java
74,gameon-sample-game-unity,C#
75,gameon-starter-kit-unity,C#
76,git-commit-template,JavaScript
77,glad,JavaScript
78,golang-gitoperations,Go
79,gpt-oss.java,Java
80,halo-third-party-sdk-for-java,Java
81,halo-third-party-sdk-for-node-js,TypeScript
82,halo-third-party-sdk-for-python,Python
83,hawktracer,C++
84,image-to-recipe-transformers,Python
85,informative-diverse-hard-negative-sampling,Python
86,ion-cascading-config,Java
87,ion-object-mapper-dotnet,C#
88,jekyll-doc-project,HTML
89,kotlin-inject-anvil,Kotlin
90,lib-3d-scene-viewer,TypeScript
91,merlin-on-demand-callgraph,JavaScript
92,metalearn-leap,Python
93,milan,Scala
94,MonitoringCustomMetrics,Python
95,mrc-net-6d-pose,Python
96,multiconer-baseline,Python
97,multilingual-keyphrase-generation,Python
98,multimodal-affinities,Python
99,MXFusion,Python
100,nimbus-jose-jwt_aws-kms-extension,Java
101,node-jose_aws-kms-extension,TypeScript
102,openapi-swift-code-generate,Swift
103,orthogonal-additive-gaussian-processes,Python
104,oss-attribution-builder,TypeScript
105,oss-contribution-tracker,TypeScript
106,oss-dashboard,Ruby
107,pecos,Python
108,pretraining-or-self-training,Python
109,python-jose_aws-kms-extension,Python
110,rdma-core,C
111,refuel-open-domain-qa,Python
112,rete-thewebconf-2022,Python
113,rheoceros,Python
114,robotiq-gripper-interface,C++
115,selling-partner-api-models,Mustache
116,selling-partner-api-php-release,PHP
117,selling-partner-api-samples,Java
118,selling-partner-api-sdk,PHP
119,seqzero,Python
120,service-model-swift-code-generate,Swift
121,sid-provision,Python
122,sid-signing-tool,Python
123,sketch-constructor,JavaScript
124,smoke-aws,Swift
125,smoke-aws-credentials,Swift
126,smoke-aws-generate,Swift
127,smoke-aws-support,Swift
128,smoke-dynamodb,Swift
129,smoke-framework,Swift
130,smoke-framework-application-generate,Swift
131,smoke-framework-examples,Swift
132,smoke-http,Swift
133,sparse-vqvae,Python
134,ss-aga-kgc,Python
135,sto-transformer,Python
136,supply-chain-simulation-environment,Python
137,tiny-attribution-generator,TypeScript
138,traffic-quality-smart-pixel-loader,TypeScript
139,trans-encoder,Python
140,user-satisfaction-modeling,Python
141,workspace-resolver,JavaScript
142,ws-vae,Python
143,xfer,Python
144,zeek-plugin-bacnet,Zeek
145,zeek-plugin-enip,Zeek
146,zeek-plugin-profinet,Zeek
147,zeek-plugin-s7comm,Zeek
148,zeek-plugin-tds,Zeek
149,zero-shot-rlhr,Python
