id,nome,linguagem
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,container,Swift
21,container-builder-shim,Go
22,containerization,Swift
23,coremltools,Python
24,corenet,Jupyter Notebook
25,cups,C
26,darwin-libplatform,C
27,darwin-libpthread,C
28,darwin-xnu,C
29,dmel,Python
30,dmel-demo,HTML
31,dnikit,Python
32,eidas,Go
33,embedding-atlas,TypeScript
34,example-package-fisheryates,Swift
35,FHIRModels,Swift
36,foundationdb,C++
37,fstools,C
38,game-center-tools,Python
39,GCGC,Jupyter Notebook
40,highlightjs-pkl,JavaScript
41,homebrew-apple,Ruby
42,HomeKitADK,C
43,learning-compressible-subspaces,Python
44,learning-subspaces,Python
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,mapkit-loader,TypeScript
48,ml-4m,Python
49,ml-acn-embed,Python
50,ml-act,Python
51,ml-ademamix,Python
52,ml-afv,Python
53,ml-agent-evaluator,Jupyter Notebook
54,ml-agm,Python
55,ml-aim,Python
56,ml-all-pairs,Python
57,ml-ane-transformers,Python
58,ml-aspanformer,Python
59,ml-aspera,Python
60,ml-atoken,Jupyter Notebook
61,ml-aura,Python
62,ml-autofocusformer,Python
63,ml-autofocusformer-segmentation,Python
64,ml-batchquant,Python
65,ml-bilevel-train-dist,Python
66,ml-bloop,Python
67,ml-calibration,Jupyter Notebook
68,ml-capsules-inverted-attention-routing,Python
69,ml-cifar-10-faster,Python
70,ml-clara,Python
71,ml-code-switched-speech-translation,Python
72,ml-collegial-ensembles,Python
73,ml-comotion,Python
74,ml-compress-and-compare,Python
75,ml-constructive-circuit-amplification,Python
76,ml-core,Python
77,ml-covid-mobility,R
78,ml-cread,Python
79,ml-cross-entropy,Python
80,ml-cubifyanything,Python
81,ml-cvnets,Python
82,ml-cvpr2019-swd,Python
83,ml-dab,Python
84,ml-data-parameters,Python
85,ml-dataset-decomposition,Python
86,ml-depth-pro,Python
87,ml-destseg,Python
88,ml-diffucoder,Python
89,ml-diffusion-alignment-gflownet,Python
90,ml-direct2.5,Python
91,ml-divide-or-conquer,Python
92,ml-dms-dataset,Python
93,ml-dprecs,Jupyter Notebook
94,ml-dr,Python
95,ml-duet,Python
96,ml-egodex,Python
97,ml-encqa,Python
98,ml-entity-deduction-arena,Python
99,ml-entropy-reconstruction,Python
100,ml-envmapnet,Python
101,ml-epicache,Python
102,ml-equivariant-neural-rendering,Jupyter Notebook
103,ml-facelit,Python
104,ml-famae,Python
105,ml-fastvit,Python
106,ml-fastvlm,Python
107,ml-fct,Python
108,ml-ferret,Python
109,ml-finerecon,Python
110,ml-flair,Jupyter Notebook
111,ml-flextok,Jupyter Notebook
112,ml-fs-dfm,Python
113,ml-gbc,Python
114,ml-genctrl,Python
115,ml-gendered-translation,Ruby
116,ml-gie-bench,Python
117,ml-gmpi,Python
118,ml-gsn,Python
119,ml-hd-gist,Python
120,ml-heart-rate-models,Python
121,ml-hierarchical-confusion-matrix,TypeScript
122,ml-hilbert,Python
123,ml-hugs,Python
124,ml-hypercloning,Python
125,ml-hypersim,Python
126,ml-icr2,Python
127,ml-inrflow,Python
128,ml-interactive-data-augmentation,Svelte
129,ml-internal-llms-instruction-following,Python
130,ml-isqoe,Python
131,ml-jointnet,Python
132,ml-key-retrieval-code-tasks,Python
133,ml-keyframer,JavaScript
134,ml-kg-mt,Python
135,ml-kge,Python
136,ml-knowledge-conflicts,Python
137,ml-kpconvx,Python
138,ml-l3m,Python
139,ml-lineas,Python
140,ml-llarp,Python
141,ml-loop,Python
142,ml-lucid-datagen,Python
143,ml-mad-bench,Jupyter Notebook
144,ml-matrix3d,Python
145,ml-mcf,Python
146,ml-mcp-repo-level-coding,Python
147,ml-mdm,Python
148,ml-mebp,Swift
149,ml-mgie,Python
150,ml-mia-bench,Jupyter Notebook
151,ml-MixupMP,Python
152,ml-mkqa,Python
153,ml-mobileclip,Python
154,ml-mobileclip-dr,Python
155,ml-mobileone,Swift
156,ml-mofi,Python
157,ml-multilingual-reasoning-gym,Python
158,ml-multiple-futures-prediction,Python
159,ml-mycelium,JavaScript
160,ml-ncg,Python
161,ml-negative-sampling,Python
162,ml-neilf,Python
163,ml-neilfpp,Python
164,ml-neuman,Python
165,ml-no-token-left-behind,Jupyter Notebook
166,ml-np-rasp,Python
167,ml-nvas3d,Python
168,ml-ogen,Python
169,ml-omni-router-moe-asr,Python
170,ml-pararnn,Python
171,ml-persona-red-teaming,Python
172,ml-pfl4asr,Python
173,ml-pgdvs,Python
174,ml-planner,Python
175,ml-pointconvformer,Python
176,ml-pointersect,Python
177,ml-policy-projector,Python
178,ml-ppg-age-analysis,Python
179,ml-predict,Python
180,ml-probabilistic-attention,Python
181,ml-projunit,Python
182,ml-pytod,Python
183,ml-qrecc,Python
184,ml-quant,Python
185,ml-recurrent-drafter,Python
186,ml-reed,Python
187,ml-reversal-blessing,Python
188,ml-rl-universal-sequence-design,Python
189,ml-rldf,Python
190,ml-rlgrad,Python
191,ml-robust-expert-augmentations,Python
192,ml-rpm-bench,Python
193,ml-sad,Python
194,ml-sage-dialog-gen,Python
195,ml-sampleplan,Python
196,ml-scaffold,Python
197,ml-scalefit,Python
198,ml-scaling-downstream-metrics,Python
199,ml-selfcond,Python
200,ml-selfreflect,Python
201,ml-semantic-regex,Jupyter Notebook
202,ml-sharp,Python
203,ml-shuffling-amplification,Python
204,ml-sid-dit,Python
205,ml-sigma-reparam,Python
206,ml-sigmoid-attention,Python
207,ml-simplefold,Python
208,ml-slowfast-llava,Python
209,ml-space-benchmark,Python
210,ml-speculative-streaming,Python
211,ml-spin,Python
212,ml-stable-diffusion,Python
213,ml-starflow,Python
214,ml-streambridge,Python
215,ml-stuttering-events-dataset,Python
216,ml-superposition-prompting,Python
217,ml-switchboard-affect,Python
218,ml-symphony,Svelte
219,ml-tada,Python
220,ml-tarflow,Python
221,ml-tic-clip,Python
222,ml-tic-lm,Python
223,ml-toad,Python
224,ml-tract,Python
225,ml-translate-vis,TypeScript
226,ml-tree-dst,Python
227,ml-tune-mode-convbn,Python
228,ml-tweak,Python
229,ml-ui-jepa,Python
230,ml-uncertainty-llms-instruction-following,Python
231,ml-unigen,Python
232,ml-upscale,Jupyter Notebook
233,ml-uwac,Python
234,ml-veclip,Jupyter Notebook
235,ml-vfi-smiff,Python
236,ml-vision-transformers-ane,Python
237,ml-vivid,Python
238,ml-vlsu,Python
239,music-feed-examples,Java
240,openjdk,Java
241,parameterized-transforms,Python
242,password-manager-resources,JavaScript
243,pfl-research,Jupyter Notebook
244,pico-banana-400k,Python
245,pir-service-example,Swift
246,pkl,Java
247,pkl-go,Go
248,pkl-go-examples,Go
249,pkl-intellij,Kotlin
250,pkl-jvm-examples,Pkl
251,pkl-k8s,Pkl
252,pkl-k8s-examples,Pkl
253,pkl-lang.org,CSS
254,pkl-lsp,Kotlin
255,pkl-neovim,Lua
256,pkl-package-docs,Kotlin
257,pkl-pantry,Pkl
258,pkl-project-commons,Pkl
259,pkl-readers,Go
260,pkl-spring,Java
261,pkl-swift,Swift
262,pkl-swift-examples,Swift
263,pkl-vscode,TypeScript
264,pkl.tmbundle,Pkl
265,pollianna,Java
266,publicsuffix-list,Go
267,python-apple-fm-sdk,Python
268,pytorch-speech-features,Python
269,rules_pkl,Starlark
270,sample-backyard-birds,Swift
271,sample-cloudkit-coredatasync,Swift
272,sample-cloudkit-encryption,Swift
273,sample-cloudkit-privatedb,Swift
274,sample-cloudkit-privatedb-sync,Swift
275,sample-cloudkit-queries,Swift
276,sample-cloudkit-sharing,Swift
277,sample-cloudkit-sync-engine,Swift
278,sample-cloudkit-tooling,JavaScript
279,sample-cloudkit-zonesharing,Swift
280,sample-fbounds-safety-adoption,HTML
281,sample-food-truck,Swift
282,security-pcc,Swift
283,servicetalk,Java
284,speakstream-demo,HTML
285,StreamingSession,C#
286,swift-3-api-guidelines-review,Swift
287,swift-algorithms,Swift
288,swift-argument-parser,Swift
289,swift-asn1,Swift
290,swift-async-algorithms,Swift
291,swift-async-dns-resolver,Swift
292,swift-atomics,Swift
293,swift-binary-parsing,Swift
294,swift-cassandra-client,Swift
295,swift-certificates,Swift
296,swift-clang,C++
297,swift-clang-tools-extra,C++
298,swift-cluster-membership,Swift
299,swift-collections,Swift
300,swift-collections-benchmark,Swift
301,swift-compiler-rt,C
302,swift-configuration,Swift
303,swift-container-plugin,Swift
304,swift-crypto,Assembly
305,swift-distributed-actors,Swift
306,swift-distributed-tracing,Swift
307,swift-distributed-tracing-baggage-core,Swift
308,swift-distributed-tracing-extras,Swift
309,swift-evolution-staging,Swift
310,swift-homomorphic-encryption,Swift
311,swift-http-api-proposal,Swift
312,swift-http-structured-headers,Swift
313,swift-http-types,Swift
314,swift-internals,HTML
315,swift-libcxx,C++
316,swift-llbuild2,Swift
317,swift-lldb,C++
318,swift-llvm,LLVM
319,swift-log,Swift
320,swift-metrics,Swift
321,swift-mmio,Swift
322,swift-nio,Swift
323,swift-nio-examples,Swift
324,swift-nio-extras,Swift
325,swift-nio-http2,Swift
326,swift-nio-imap,Swift
327,swift-nio-nghttp2-support,Swift
328,swift-nio-oblivious-http,Swift
329,swift-nio-ssh,Swift
330,swift-nio-ssl,Assembly
331,swift-nio-ssl-support,Swift
332,swift-nio-transport-services,Swift
333,swift-nio-zlib-support,Swift
334,swift-ntp,Swift
335,swift-numerics,Swift
336,swift-openapi-generator,Swift
337,swift-openapi-runtime,Swift
338,swift-openapi-urlsession,Swift
339,swift-play-experimental,Swift
340,swift-profile-recorder,Swift
341,swift-protobuf,Swift
342,swift-sample-distributed-actors-transport,Swift
343,swift-service-context,Swift
344,swift-service-discovery,Swift
345,swift-standard-library-preview,Swift
346,swift-statsd-client,Swift
347,swift-string-processing-benchmarks,Swift
348,swift-system,Swift
349,swift-system-metrics,Swift
350,swift-temporal-sdk,Swift
351,swift-tools-support-async,Swift
352,swift-xcode-playground-support,Swift
353,swiftpm-on-llbuild2,Swift
354,SwiftUsd,C++
355,SwiftUsd-ast-answerer,C++
356,SwiftUsd-Tests,Swift
357,tensor-visualizer,Svelte
358,tensorflow_macos,Shell
359,ToolSandbox,Python
360,tree-sitter-pkl,Kotlin
361,turicreate,C++
362,unityplugins,C#
363,VideoFlashingReduction,Mathematica
364,visatronic-demo,HTML
365,vqg-multimodal-assistant,Python
