id,nome,linguagem
0,aegisthus,Java
1,af_tsa,C
2,aminator,Python
3,archaius,Java
4,asf-rez-fork,Python
5,asgard,Groovy
6,astyanax,Java
7,atlas,Scala
8,atlas-docs,Python
9,aws-autoscaling,Shell
10,awsobjectmapper,Groovy
11,batch_request_api,Ruby
12,batch_request_client,Ruby
13,bbparse,C
14,bettertls,Go
15,blesk,JavaScript
16,bless,Python
17,blitz4j,Java
18,bpftop,C
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,clove,Python
24,codec_compare,Python
25,concurrency-limits,Java
26,conductor,Java
27,conductor-community,Java
28,conductor-docs,Python
29,conductor-ui,JavaScript
30,consoleme,Python
31,curator,Java
32,denominator,Java
33,derand,Java
34,dgs,HTML
35,dgs-codegen,Kotlin
36,dgs-examples-java,Java
37,dgs-examples-java-2.7,Java
38,dgs-examples-java.latest,Java
39,dgs-examples-kotlin,Kotlin
40,dgs-examples-kotlin-2.7,Kotlin
41,dgs-examples-webflux,Java
42,dgs-federation-example,Kotlin
43,dgs-framework,Kotlin
44,dgs-intellij-plugin,Kotlin
45,dial-reference,C
46,dispatch,Python
47,dispatch-docker,Shell
48,dyno,Java
49,dyno-queues,Java
50,dynomite,C
51,dynomite-manager,Java
52,e2nest,Python
53,eclipse-jifa,Java
54,edda,Scala
55,edda-client,Java
56,element-server,JavaScript
57,ember-batch-request,JavaScript
58,ember-nf-graph,JavaScript
59,ember-nf-graph-examples,JavaScript
60,eslint-config-netflix,Shell
61,eslint-plugin-x-element,JavaScript
62,eureka,Java
63,eureka-ui,JavaScript
64,EVCache,Java
65,fabricator,Java
66,falcor,JavaScript
67,falcor-datasource-chainer,JavaScript
68,falcor-express,JavaScript
69,falcor-express-demo,HTML
70,falcor-hapi,JavaScript
71,falcor-hapi-demo,HTML
72,falcor-http-datasource,JavaScript
73,falcor-json-graph,JavaScript
74,falcor-observable,JavaScript
75,falcor-path-syntax,JavaScript
76,falcor-path-utils,JavaScript
77,falcor-restify,JavaScript
78,falcor-restify-demo,HTML
79,falcor-router,JavaScript
80,falcor-router-demo,JavaScript
81,fast_jsonapi,Ruby
82,Fenzo,Java
83,Fido,C#
84,flamescope,Python
85,frigga,Java
86,genie,Java
87,glisten,Groovy
88,global-lock-bench,C
89,go-env,Go
90,go-expect,Go
91,go-iomux,Go
92,governator,Java
93,gradle-template,Java
94,hal-9001,Go
95,hollow,Java
96,hollow-reference-implementation,Java
97,hubcommander,Python
98,Hystrix,Java
99,iceberg,Java
100,iceberg-python,Python
101,iep,Java
102,image_compression_comparison,Python
103,inviso,JavaScript
104,karyon,Java
105,lemur,Python
106,lemur-docker,Python
107,libamicontained,Rust
108,Lipstick,JavaScript
109,maestro,Java
110,mantis,Java
111,mantis-api,Java
112,mantis-cli,JavaScript
113,mantis-connectors,Java
114,mantis-control-plane,Java
115,mantis-examples,Java
116,mantis-gradle-plugin,Groovy
117,mantis-helm,Smarty
118,mantis-mql,Clojure
119,mantis-rxcontrol,Java
120,mantis-source-jobs,Java
121,mantis-ui,TypeScript
122,matchcut,Jupyter Notebook
123,metacat,Java
124,metaflow,Python
125,metaflow-docs,JavaScript
126,metaflow-extensions-template,Python
127,metaflow-nflx-extensions,Python
128,metaflow-service,Python
129,metaflow-tools,HCL
130,metaflow-ui,TypeScript
131,metrics-client-go,Go
132,msl,C++
133,ndbench,HTML
134,nerror,JavaScript
135,netflix-commons,Java
136,netflix-graph,Java
137,netflix.github.com,HTML
138,nf-data-explorer,TypeScript
139,nflxprofile,Python
140,NfWebCrypto,C++
141,Nicobar,Java
142,ocelli,Java
143,octodns,Python
144,octodns-ns1,Python
145,octodns-route53,Python
146,octodns-ultra,Python
147,OpenVPCal,Python
148,osstracker,Scala
149,p2plab,Go
150,photon,Java
151,PigPen,Clojure
152,pollyjs,JavaScript
153,polynote,HTML
154,Prana,Java
155,Priam,Java
156,probnik,TypeScript
157,pygenie,Python
158,pytheas,JavaScript
159,q,Java
160,Raigad,Java
161,ReactiveLab,Java
162,read_bbrlog,C
163,recipes-rss,Java
164,rend,Go
165,rend-http,Go
166,rend-lmdb,Go
167,repokid,Python
168,restful-jsonapi,Ruby
169,ribbon,Java
170,runtime-health,Java
171,rx-aws-java-sdk,Java
172,s3mper,Java
173,security_monkey,Python
174,servo,Java
175,sherlock,R
176,signal-wrapper,Go
177,SimianArmy,Java
178,sleepy-puppy-docker,Dockerfile
179,spark,Scala
180,spectator,Java
181,spectator-cpp,C++
182,spectator-go,Go
183,spectator-go-runtime-metrics,Go
184,spectator-js,TypeScript
185,spectator-py,Python
186,spectator-py-runtime-metrics,Python
187,spectator-rb,Ruby
188,staash,Java
189,sureal,Python
190,suro,Java
191,Surus,Java
192,taskintrospection,C
193,tcplog_dumper,C
194,titus-api-definitions,Makefile
195,titus-control-plane,Java
196,titus-executor,Go
197,titus-kube-common,Go
198,tslint-config-netflix,JavaScript
199,ttal-dapt-conv,JavaScript
200,Turbine,Java
201,unleash,JavaScript
202,user2020-metaflow-tutorial,R
203,vector,JavaScript
204,vectorflow,D
205,videoannotator,Jupyter Notebook
206,virtual-kubelet,Go
207,vizceral,JavaScript
208,vizceral-component,JavaScript
209,vizceral-example,JavaScript
210,vizceral-react,JavaScript
211,vmaf,Python
212,webpack-parse-query,JavaScript
213,weep,Go
214,Workflowable,Ruby
215,x-element,JavaScript
216,x-test,JavaScript
217,x-test-cli,JavaScript
218,yetch,JavaScript
219,zeno,Java
220,zuul,Java
